01:13:06 [AccountInfo] Account disconnected (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
01:13:06 [AccountInfo] Account disconnected (Account: salchipapa, IpAddress: 181.46.166.152, GameServerCode: 0)
01:13:06 [AccountInfo] Account disconnected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
01:13:06 [AccountInfo] Account disconnected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
01:13:06 [AccountInfo] Account disconnected (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
01:14:34 [AccountInfo] Account connected (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
01:14:34 [AccountInfo] Account connected (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
01:14:34 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
01:14:34 [AccountInfo] Account connected (Account: salchipapa, IpAddress: 181.46.166.152, GameServerCode: 0)
01:14:34 [AccountInfo] Account connected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
11:21:26 [AccountInfo] Account disconnected by proc (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 19)
11:26:05 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
13:28:09 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
14:00:21 [AccountInfo] Account connected (Account: franqitoo, IpAddress: 186.22.19.90, GameServerCode: 0)
14:14:35 [AccountInfo] Account disconnected (Account: franqitoo, IpAddress: 186.22.19.90, GameServerCode: 0)
14:52:40 [AccountInfo] Account disconnected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
14:53:21 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
15:14:30 [AccountInfo] Account disconnected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
15:14:39 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
15:16:30 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
15:16:55 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
16:58:19 [AccountInfo] Account disconnected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
18:51:30 [AccountInfo] Account disconnected (Account: salchipapa, IpAddress: 181.46.166.152, GameServerCode: 0)
18:51:30 [AccountInfo] Account disconnected (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
18:51:30 [AccountInfo] Account disconnected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
18:51:30 [AccountInfo] Account disconnected (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
18:51:30 [AccountInfo] Account disconnected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
18:52:59 [AccountInfo] Account connected (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
18:52:59 [AccountInfo] Account connected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
18:52:59 [AccountInfo] Account connected (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
18:52:59 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
18:52:59 [AccountInfo] Account connected (Account: salchipapa, IpAddress: 181.46.166.152, GameServerCode: 0)
23:32:36 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
23:33:10 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
